,insc,cn2,ch2,lc2,rd2,cn,ch,lc,mt,rd
1,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,464.8,443.5,431.8,420,436.3,495.4,581.2,399.4,520
2,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,391.1,491.1,548,580,474.5,544.1,599,459.8,580
3,b38a03232f43b11c9d0788abaf060f7366053b6d,595.9,622.7,613.6,320,439.7,583.2,410.9,364.5,620
5,715494628a50142ce8cb17191cfe6d0f3cae0934,592.9,492.6,571.4,320,420.1,604.2,484.5,529.2,560
6,e656d6bad65c93fb2880f1eba5037008c8e75774,414.5,568.5,542.5,560,619.6,625.8,611.2,566.7,620
7,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,485.7,654.6,606.6,620,500.5,555.2,521.8,372.4,680
8,11539e86171bf07d3a36f09377d7f54ebcc8406a,423.2,521,451.8,420,413.4,407.9,533.9,419.6,520
9,043c544a2104aa8a9849f1a703a08d37a2f16839,414.4,577.6,548.6,740,503.4,509.6,490.1,369.9,580
10,76ba050e64ad100b856f0eaabd8f539d5c7dd185,456.8,518.5,488.7,580,402.6,556.9,599,464.2,360
13,940aede382ccb332fab15d413217695ec44ca765,428.3,495.1,534.3,580,477.8,462.9,511.9,453.4,360
14,9ad714b116da76d878dd399d187fccc2dd13dd63,597.2,606.7,525.5,520,561.8,640.8,596.5,480.4,720
15,dd34464a4d780b12a089347ad580418ac57a3055,518.8,599.5,519.4,680,474.4,540,517.4,402.4,460
16,f837a4cb05a5fd59d20138182f5e8c721eadd584,410.4,537.5,613.8,600,395.5,425.2,569.5,475.8,520
20,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,371.9,444.5,449.2,380,471.9,628,588.2,518,780
21,3d203727f27abd83b71732d88d8cb1cc099f363b,390.3,546.3,477.8,540,484.8,485.3,559.1,475.3,500
24,cbc301183dec912f3513ca766bf03dd565f3a38f,481.9,534.7,563.2,560,473.2,439.1,472.8,430.8,400
25,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,620.7,706.4,632.3,800,390.4,521.3,522.5,377.3,440
26,11282da1ee78c8db45a041db4c744e33df489df0,410.7,460.2,520.1,520,475.8,530,483.1,467.3,520
27,03c67f683a415c2ea09b582248bd4cb08528c19d,603.6,597.1,555.4,800,413.6,522.3,530.1,553.9,780
28,046e844fb06a07ba30b41521f0065a8d9c6e5024,425,370.3,392.2,480,510,560.2,424.6,394,720
29,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,459.9,493.5,468.6,440,440,477.2,470.5,415.5,600
32,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,425,413.4,413.9,460,430.6,544.2,402.9,427.3,620
33,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,610.1,538.2,535.5,600,449.7,485,518.5,508,520
34,fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,495.1,564.3,534.2,580,465.7,559.7,542.5,563.6,760
35,a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,575.2,552.6,500.4,700,477.3,554.3,441.9,383.2,420
36,f8d4f9a26c5f2023c33701a8888f9c02513a02c7,470.2,577.3,514.6,480,467.8,512.9,452.4,470,600
37,9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,443,508.8,510.6,620,407.8,559.8,479.3,435.4,640
38,59bfa081e020013410d9f60f91813964ba749bb2,432.8,476.2,439.4,540,401.4,506.9,518,373.9,600
39,f5e069ee3bc95998464e8ff5da048b7f999921ed,463.5,524.8,386.3,560,448.9,639.2,604.4,542.4,720
40,e02240b518016d03a1b5bcc6d0a37b7a527ea93d,607.4,641.6,593.9,840,373.4,518.4,521.8,405.7,480
41,664f44258212a1f7e4086f2b4845d586c543fa3f,477.2,563.5,520.3,500,560.8,586.9,623,555.6,620
42,265cd7befa74a9f2a198fc57baec9858075f8419,391.9,552.9,468.2,400,593.9,549.4,603.1,539.7,480
43,6f9ac44919bbd204e0ef15185388fd2d4bc61253,520.6,552,532.1,500,498.2,619.9,515.7,390.3,620
44,78de1ee60b55766cc3eba4089e36c57139b66ebd,438.9,525.9,516.4,440,461.4,587.4,578.4,423.5,620
46,1e61a474acdc043eb39a89c17fab34bd2ea1a940,457.8,463.3,453,360,524.5,581,586.5,471.1,600
47,940af68ded6af2875708611051aa7ff3f134d80b,524.9,533.9,526.8,540,412.6,396.3,443.2,354.6,320
48,e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,478.4,579.6,509,460,366.7,424.2,450.4,345.7,380
49,c76ddf6e9f80984e901b12f9462a3cf029bea290,459.8,551.3,505.2,740,440.3,493.9,536.4,443.8,420
50,7d39df837488ca3fa6e512fd9e20ec7753b4c36d,435.8,505.8,534.4,500,377.9,527.3,493.6,629.3,460
53,92823d467a2ced9529801e0e8a94802dd88f0c17,480.1,399.4,481.7,440,595.1,565.7,577.4,393.6,560
54,9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,565.4,600.8,625.4,720,561.1,610.8,607.5,708.5,520
55,413cbb38b2e2522f8167ffb9daeac1347b281393,477.1,561.7,522.8,580,384.5,512.4,527.4,371.8,560
56,68985fad004092956a4b4ce94dd53dc76d07eaf7,462.1,574.2,511.2,800,419.9,467.9,387.4,378.7,600
57,bdca9aeb19521675af15f2c28d86f6bebc45a834,403.5,600.2,587.4,880,460.9,468,516.4,468.5,640
58,b65b19d42b7a4b644fe9f99366dcb37b120862d9,395.6,436.1,510.3,440,596.2,610.4,562.7,728.3,780
59,eda898aa8ec465cbac70de72ead0c6d688e5f95a,495.1,373.9,476.8,420,443.8,470.9,503.5,434.2,360
61,8d5c4481d736f6ce27976e400f4245bf10757608,418.7,419.8,471.7,600,493.5,504.1,431.9,414.1,500
66,c4cea54435c0fd0e171eed4c215479bb3ca86113,436,489.6,512.5,480,482.2,590.8,604.4,457.8,360
67,7d5cd89c6112b9a202a025a24355135bc60848c6,430.2,557.4,567,640,446,518.9,530.2,370.8,640
68,b70ab62384aa80545928a311f5b5d3db2f4d87ee,554.4,585.2,563.9,540,437.3,449.1,521.7,412.4,500
69,c96431dd924f366d2229a7f1455388b8cd85be49,581.8,583.3,613,760,434.9,475.2,546.8,355.6,580
72,dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,396.1,522.2,471.8,440,438.4,441.4,507,401.6,440
73,e724482370ae6126008ade80b564ad8d8a0a7cbd,489,488.4,497.6,420,367.1,526.4,532,492.8,600
74,2ef4e2788e2f815f9a885c899f75d5dfeb234a02,618.8,637.4,540.5,820,393.9,492.3,517.3,407.6,420
76,e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,511,462.6,552.7,480,414.3,534,524.5,513,600
77,7f898f8939ae054359f83ee154bb91bc7dd2c959,564.2,576.6,588.7,640,477.9,484.2,489.7,604.9,500
78,3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,463.1,570.4,467.3,580,494.1,587.5,546.6,495.3,540
79,82e3b12c6366008fabc238f299f117074e78de5d,389.5,469.5,441.1,400,391.1,570.4,511.2,397.3,360
80,0d838be0e718ceb786cdb10fcc12559e00440240,500,550.2,541.4,640,405.7,476.4,464.7,344.1,400
81,1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,442.8,585.5,508.4,520,443,521.8,526,397,540
